Pharmaceutical Society of Ireland,,,,,,,,,
This data is correct at: 01.07.2022,,,,,,,,,
Registration Number,Trading Name,Street 1,Street 2,Street 3,Town,County,RPB Owner,Eircode,Address 1
5999,Gormley Pharmacy,Unit 3,Kells Shopping Centre,,Kells,Co. Meath,F J Grimes Chemist Ltd,,"Unit 3
Kells Shopping Centre
Kells, Co. Meath"
6000,LloydsPharmacy,2 Main Street,,,Blanchardstown,Dublin 15,Lloydspharmacy Ireland Limited,,"2 Main Street
Blanchardstown, Dublin 15"
6001,LloydsPharmacy,Nutgrove Shopping Centre,,,Rathfarnham,Dublin 14,Lloydspharmacy Ireland Limited,,"Nutgrove Shopping Centre
Rathfarnham, Dublin 14"
6003,Gilsenan's Allcare Pharmacy,1-2  Town Centre Mall,Main Street,,Swords,Co. Dublin,Tinline Trading Ltd,k679023,"1-2  Town Centre Mall
Main Street
Swords, Co. Dublin k679023"
6005,Crescent Pharmacy,68 Willow Park Crescent,,,Glasnevin,Dublin 11,Gill Pharmaceuticals Limited,,"68 Willow Park Crescent
Glasnevin, Dublin 11"
6007,LloydsPharmacy,Superquinn Shopping Centre,,,Lucan,Co. Dublin,Lloydspharmacy Ireland Limited,,"Superquinn Shopping Centre
Lucan, Co. Dublin"
6010,Nolan's Pharmacy,Unit 2a Ashbourne Town Centre,,,Ashbourne,Co. Meath,Clava Limited,,"Unit 2a Ashbourne Town Centre
Ashbourne, Co. Meath"
6011,LloydsPharmacy,10 Upper Drumcondra Road,,,Drumcondra,Dublin 9,Lloydspharmacy Ireland Limited,,"10 Upper Drumcondra Road
Drumcondra, Dublin 9"
6013,Coppen's Pharmacy Limited,Unit 5 Abbey Centre,,,Enniscorthy,Co. Wexford,Coppen's Pharmacy Limited,,"Unit 5 Abbey Centre
Enniscorthy, Co. Wexford"
6014,LloydsPharmacy,Laois Shopping Centre,,,Portlaoise,Co. Laois,Lloydspharmacy Ireland Limited,,"Laois Shopping Centre
Portlaoise, Co. Laois"
6015,Dooley's Pharmacy,37 Bishop Street,,,Newcastle West,Co. Limerick,Westpharm Limited,,"37 Bishop Street
Newcastle West, Co. Limerick"
6016,LloydsPharmacy,Unit 15,Omni Park Shopping Centre,,Santry,Dublin 9,Lloydspharmacy Ireland Limited,,"Unit 15
Omni Park Shopping Centre
Santry, Dublin 9"
6017,LloydsPharmacy ,Hollyhill Shopping Centre,Hollyhill,,Cork City,Co. Cork,Lloydspharmacy Ireland Limited,,"Hollyhill Shopping Centre
Hollyhill
Cork City, Co. Cork"
6019,"Pharmacy Department, Connolly Hospital",,,,Blanchardstown,Dublin 15,Health Service Executive,,"Blanchardstown, Dublin 15"
6020,Ward Pharmacy,34 -36 Ballymahon Street,,,Longford Town,Co. Longford,Mediman Limited,,"34 -36 Ballymahon Street
Longford Town, Co. Longford"
6022,Clifden Pharmacy & Photographic Centre Limited,Main Street,,,Clifden,Co. Galway,Clifden Pharmacy and Photographic Centre Limited,,"Main Street
Clifden, Co. Galway"
6023,Grennan's Pharmacy Limited,40 Dublin Street,,,Dundalk,Co. Louth,Grennan's Pharmacy Limited,,"40 Dublin Street
Dundalk, Co. Louth"
6027,Hickey's Pharmacy,21 Grafton Street,,,,Dublin 2,Estherfield Limited,,"21 Grafton Street
Dublin 2"
6028,Rockville Pharmacy,7 Rockville Road,Newtown Park Avenue,,Blackrock,Co. Dublin,Rockville Pharmacy  Ltd,,"7 Rockville Road
Newtown Park Avenue
Blackrock, Co. Dublin"
6029,Adrian Dunne Pharmacy,40-41 Main Street,,,Arklow,Co. Wicklow,Holly Pharmacy (Arklow) Limited,,"40-41 Main Street
Arklow, Co. Wicklow"
6030,"Pharmacy Department, Bon Secours Hospital",,,,Renmore,Co. Galway,Bon Secours Health System Company Limited By Guarantee,,"Renmore, Co. Galway"
6031,"Pharmacy Department, National Rehabilitation Hospital",,Rochestown Avenue,,Dun Laoghaire,Co. Dublin,Health Service Executive,,"Rochestown Avenue
Dun Laoghaire, Co. Dublin"
6032,O'Donovan's Pharmacy ,"Unit 12, Tullamore Centre",Church Road,,Tullamore,Co. Offaly,O’Donovan’s Pharmacy Limited,,"Unit 12, Tullamore Centre
Church Road
Tullamore, Co. Offaly"
6036,Brennan's Pharmacy,Summerhill,,,Tramore,Co. Waterford,Anne Phelan Pharmacy Ltd,,"Summerhill
Tramore, Co. Waterford"
6037,Brennan's Pharmacy,Unit 11,Ardaravan Square,,Buncrana,Co. Donegal,Brennan's Pharmacy Ltd,,"Unit 11
Ardaravan Square
Buncrana, Co. Donegal"
6038,Kelly's Pharmacy,"Unit 3, Oscar House",Staplestown Road,,Carlow Town,Co. Carlow,Fayeglen Limited,,"Unit 3, Oscar House
Staplestown Road
Carlow Town, Co. Carlow"
6040,Collins Kinsale Pharmacy,11-12 Exchange Building,Market Place,,Kinsale,Co. Cork,Collins Kinsale Pharmacy Ltd,,"11-12 Exchange Building
Market Place
Kinsale, Co. Cork"
6041,Nicholsons Pharmacy,2 Stephen Street,,,Sligo Town,Co. Sligo,Nicholson & Cassidy Limited,,"2 Stephen Street
Sligo Town, Co. Sligo"
6042,Pharmacy O'Regan,Unit 4 - 6,Old Bawn Shopping Centre,,Tallaght,Dublin 24,Illingvale Limited,,"Unit 4 - 6
Old Bawn Shopping Centre
Tallaght, Dublin 24"
6043,Greene's Pharmacy,Chapel Street,,,Ballyjamesduff,Co. Cavan,Brendan Fox Pharmacy Limited,,"Chapel Street
Ballyjamesduff, Co. Cavan"
6044,O'Donoghue's Pharmacy,Main Street,,,Virginia,Co. Cavan,O'Donoghue's Pharmacy (Virginia) Limited,,"Main Street
Virginia, Co. Cavan"
6045,Mulcahy's Pharmacy,The Square,,,Millstreet,Co. Cork,TM Pharmacy Millstreet Limited,P51 EO26,"The Square
Millstreet, Co. Cork P51 EO26"
6046,O'Dea's Pharmacy,Lorcan Avenue,,,Santry,Dublin 9,Brolga Limited,,"Lorcan Avenue
Santry, Dublin 9"
6050,LloydsPharmacy,Upper George's Street,,,Dun Laoghaire,Co. Dublin,Lloydspharmacy Ireland Limited,,"Upper George's Street
Dun Laoghaire, Co. Dublin"
6054,"Pharmacy Department, St. Michaels Hospital",,Lower Georges Street,,Dun Laoghaire,Co. Dublin,St. Vincent's Healthcare Group,,"Lower Georges Street
Dun Laoghaire, Co. Dublin"
6059,"Pharmacy Department, Mater Misericordiae University Hospital",Eccles Street,,,,Dublin 7,Mater Misericordiae & Children's University Hospital Ltd,,"Eccles Street
Dublin 7"
6060,Duffy's Pharmacy,Killimor,,,Ballinasloe,Co. Galway,Duffy's Excel Warehouse Limited,,"Killimor
Ballinasloe, Co. Galway"
6061,"Pharmacy Department, Coombe Women & Infants University Hospital",Cork Street,Dolphins Barn,,,Dublin 8,Coombe Woman's & Infants University Hospital,,"Cork Street
Dolphins Barn
Dublin 8"
6062,Burke's Pharmacy (Waterford) Ltd,"Unit 4, The Hyper Centre",Morgan Street,,Waterford City,Co. Waterford,Burke's Pharmacy (Waterford) Limited,,"Unit 4, The Hyper Centre
Morgan Street
Waterford City, Co. Waterford"
6064,Mulligan's Pharmacy,12a City Square Shopping Centre,,,Waterford City,Co. Waterford,Mulligans Chemist (City Square) Limited,,"12a City Square Shopping Centre
Waterford City, Co. Waterford"
6068,Pharmacy O'Regan,4 Drogheda Street,,,Balbriggan,Co. Dublin,Lennys (Medical Hall) Limited,,"4 Drogheda Street
Balbriggan, Co. Dublin"
6069,Foynes Pharmacy Limited,Main Street,,,Foynes,Co. Limerick,Foynes Pharmacy Limited,,"Main Street
Foynes, Co. Limerick"
6070,LloydsPharmacy,Supervalu Shopping Centre,,,Killester,Dublin 3,Lloydspharmacy Ireland Limited,,"Supervalu Shopping Centre
Killester, Dublin 3"
6072,Pharmacy Department - St. Patrick's Hospital,P.O. Box 136,James's Street,,,Dublin 8,St. Patrick's Hospital,,"P.O. Box 136
James's Street
Dublin 8"
6073,Barry's Pharmacy Limited,The Square,,,Castlepollard,Co. Westmeath,Barry’s Pharmacy Limited ,,"The Square
Castlepollard, Co. Westmeath"
6074,McElligott's Pharmacy,Ashdale House,Shean Lower,,Blarney,Co. Cork,McElligott's Pharmacy Ltd,,"Ashdale House
Shean Lower
Blarney, Co. Cork"
6076,LloydsPharmacy,"Unit 2, Longford Shopping Centre",,,Longford Town,Co. Longford,Lloydspharmacy Ireland Limited,,"Unit 2, Longford Shopping Centre
Longford Town, Co. Longford"
6079,LloydsPharmacy,20 Pearse Street,,,Mullingar,Co. Westmeath,Lloydspharmacy Ireland Limited,,"20 Pearse Street
Mullingar, Co. Westmeath"
6081,O'Donnell's Pharmacy (Gweedore) Ltd,Stranacorkra,Derrybeg,,Letterkenny,Co. Donegal,O'Donnell's Pharmacy (Gweedore) Ltd,,"Stranacorkra
Derrybeg
Letterkenny, Co. Donegal"
6082,McLoughlin's Pharmacy,"Unit 4, Dunnes Stores Shopping Centre",O'Connell Street,,Ennis,Co. Clare,McLoughlin's of Ennis Limited,,"Unit 4, Dunnes Stores Shopping Centre
O'Connell Street
Ennis, Co. Clare"
6084,McNally Pharmacy,"Unit 1, Manor Mall Shopping Centre",Brackenstown,,Swords,Co. Dublin,Saspar Limited,,"Unit 1, Manor Mall Shopping Centre
Brackenstown
Swords, Co. Dublin"
6086,Mackessy's Pharmacy,New Street,,,Newmarket,Co. Cork,Killala Pharmacy Unlimited Company,,"New Street
Newmarket, Co. Cork"
6090,Innishannon Pharmacy,Main Street,,,Innishannon,Co. Cork,Niamh Ryan,,"Main Street
Innishannon, Co. Cork"
6092,Life MacNamara's Pharmacy,30 Main Street,,,Swords,Co. Dublin,MacNamara's Pharmacy Ltd,,"30 Main Street
Swords, Co. Dublin"
6093,Ballybrack Medical Hall,22 Church Road,,,Ballybrack,Co. Dublin,Carey's Pharmacy Ltd,,"22 Church Road
Ballybrack, Co. Dublin"
6094,Hughes Pharmacy ,Prosperous Road,,,Clane,Co. Kildare,Kieran Hughes Pharmacy Limited,,"Prosperous Road
Clane, Co. Kildare"
6095,Clontarf Pharmacy Ltd,192b Clontarf Road,,,Clontarf,Dublin 3,Clontarf Pharmacy Ltd,,"192b Clontarf Road
Clontarf, Dublin 3"
6096,Kennelly's Pharmacy and Opticians,33 New Street,,,Killarney,Co. Kerry,Dinis Bay Group Unlimited,,"33 New Street
Killarney, Co. Kerry"
6097,"Pharmacy Department, St. Vincent's University Hospital",Elm Park,,,Merrion,Dublin 4,St. Vincent's Healthcare Group,,"Elm Park
Merrion, Dublin 4"
6099,Staunton's Pharmacy,Belfry View,Church Hill,,Navan,Co. Meath,Belfry Pharmacy Limited,C15 F5YH,"Belfry View
Church Hill
Navan, Co. Meath C15 F5YH"
6105,LloydsPharmacy,44 Tonlegee Road,,,Coolock,Dublin 5,Lloydspharmacy Ireland Limited,,"44 Tonlegee Road
Coolock, Dublin 5"
6110,LloydsPharmacy,Units 6 - 7,The Mill Shopping Centre,,Clondalkin,Dublin 22,Lloydspharmacy Ireland Limited,,"Units 6 - 7
The Mill Shopping Centre
Clondalkin, Dublin 22"
6112,McCauley Health & Beauty Pharmacy,Unit 11 Carlow Shopping Centre,,,Carlow Town,Co. Carlow,Sam McCauley Chemists (Carlow) Limited,,"Unit 11 Carlow Shopping Centre
Carlow Town, Co. Carlow"
6114,"Pharmacy Department, Sligo University Hospital",,,,Sligo Town,Co. Sligo,Health Service Executive,,"Sligo Town, Co. Sligo"
6115,Cosgrove's Pharmacy,105 Monkstown Road,Blackrock,,Monkstown,Co. Dublin,Veronica Cosgrove,,"105 Monkstown Road
Blackrock
Monkstown, Co. Dublin"
6116,LloydsPharmacy,Grove Island Shopping Centre,Corbally,,Limerick,Co. Limerick,Lloydspharmacy Ireland Limited,,"Grove Island Shopping Centre
Corbally
Limerick, Co. Limerick"
6121,Kissane's Pharmacy,Main Street,,,Borris,Co. Carlow,Borris Pharmacy Limited,,"Main Street
Borris, Co. Carlow"
6122,McCauley Health & Beauty Pharmacy,Manor West Retail Park,,,Tralee,Co. Kerry,Sam McCauley Chemists (Tralee) Ltd,,"Manor West Retail Park
Tralee, Co. Kerry"
6124,Medicare Pharmacy,Kettle Street,,,Lahinch,Co. Clare,C.G. Trust Limited,,"Kettle Street
Lahinch, Co. Clare"
6129,Glen Easton Pharmacy,,Glen Easton Lodge Shopping Centre,,Leixlip,Co. Kildare,Glen Easton Pharmacy Limited,,"Glen Easton Lodge Shopping Centre
Leixlip, Co. Kildare"
6131,Carrigtwohill Pharmacy Ltd,Unit 4,Carrigtwohill Shopping Centre,,Carrigtwohill,Co. Cork,Carrigtwohill Pharmacy Ltd,,"Unit 4
Carrigtwohill Shopping Centre
Carrigtwohill, Co. Cork"
6132,Cunningham's Pharmacy,5 Auburn Retail Centre,Dublin Road,,Athlone,Co. Westmeath,Auburn Pharmacy Limited,,"5 Auburn Retail Centre
Dublin Road
Athlone, Co. Westmeath"
6133,"Pharmacy Department, Midland Regional Hospital Tullamore",Arden Road,,,Tullamore,Co. Offaly,Health Service Executive,,"Arden Road
Tullamore, Co. Offaly"
6134,Stock Health Pharmacy,Distillery Bridge,,,Bandon,Co. Cork,Stock Health Ltd,,"Distillery Bridge
Bandon, Co. Cork"
6138,MacNamara's Pharmacy,Unit 4 Swords Retail Centre,Dublin Road,,Swords,Co. Dublin,Amra Pharmacy Limited,,"Unit 4 Swords Retail Centre
Dublin Road
Swords, Co. Dublin"
6139,Staunton's Pharmacy,Unit 1 Johnstown Village,Oldtown Road,,Navan,Co. Meath,HRHS Pharmacy Limited,C15 HD58,"Unit 1 Johnstown Village
Oldtown Road
Navan, Co. Meath C15 HD58"
6140,Kilminchy Pharmacy,Kilminchy Court,Dublin Road,,Portlaoise,Co. Laois,Kilminchy Pharmacy Limited,,"Kilminchy Court
Dublin Road
Portlaoise, Co. Laois"
6141,Maple Pharmacy,"Unit 3, The Maple Centre",Navan Road,,Cabra,Dublin 7,The Maple Pharmacy Limited,,"Unit 3, The Maple Centre
Navan Road
Cabra, Dublin 7"
6145,Claregalway Pharmacy,Unit 1,Hughes Supermarket,,Claregalway,Co. Galway,Wedgegrove Limited,,"Unit 1
Hughes Supermarket
Claregalway, Co. Galway"
6149,Foley's Pharmacy,Applewood Village,,,Swords,Co. Dublin,Frances Foley's Community Pharmacy Limited ,,"Applewood Village
Swords, Co. Dublin"
6150,Merlin Pharmacy,Doughiska Retail Centre,,,Doughiska,Co. Galway,Merlin Pharmacy Limited,,"Doughiska Retail Centre
Doughiska, Co. Galway"
6151,McGuire's Pharmacy,Unit 7,Market Square Centre,,Carrickmacross,Co. Monaghan,Tobin's Medical Hall Limited,A81 DK00,"Unit 7
Market Square Centre
Carrickmacross, Co. Monaghan A81 DK00"
6153,O'Sullivan's Pharmacy,"Unit 1, Corbally Centre",Corbally Road,,Limerick,Co. Limerick,O'Sullivans Pharmacies and Beauticans (Corbally) Limited,,"Unit 1, Corbally Centre
Corbally Road
Limerick, Co. Limerick"
6154,Walsh's Pharmacy,Unit 1,Orantown Centre,,Oranmore,Co. Galway,HealthPlus Limited,,"Unit 1
Orantown Centre
Oranmore, Co. Galway"
6155,O'Regan's Pharmacy,Ballea Road,,,Carrigaline,Co. Cork,Chesterbrim Limited,,"Ballea Road
Carrigaline, Co. Cork"
6156,Allcare Pharmacy,Westmount Clinic,Church Hill,,Wicklow Town,Co. Wicklow,Dodd's Pharmacy Limited,,"Westmount Clinic
Church Hill
Wicklow Town, Co. Wicklow"
6162,"Pharmacy Department, University Hospital Galway",University Hospital Galway,Newcastle Road,,Galway City,Co. Galway,Health Service Executive,,"University Hospital Galway
Newcastle Road
Galway City, Co. Galway"
6164,McCauley Health & Beauty Pharmacy,Units 14-17,Fairgreen Shopping Centre,,Carlow Town,Co. Carlow,Sam McCauley Chemists (Fairgreen) Ltd,,"Units 14-17
Fairgreen Shopping Centre
Carlow Town, Co. Carlow"
6165,Murtagh's Life Pharmacy - Ballinagh,Main Street,,,Ballinagh,Co. Cavan,Sellmane Limited,,"Main Street
Ballinagh, Co. Cavan"
6166,McKee Pharmacy,2 Mc Kee Road,,,Finglas,Dublin 11,Gill Pharmaceuticals Limited,,"2 Mc Kee Road
Finglas, Dublin 11"
6167,Healthwise Glencar,Glencar Shopping Centre,,,Letterkenny,Co. Donegal,Glencar Pharmacy Ltd,,"Glencar Shopping Centre
Letterkenny, Co. Donegal"
6168,Your Local Pharmacy,310 Ballyfermot Road,,,Ballyfermot,Dublin 10,Crowley's Pharmacy (Dublin) Limited,,"310 Ballyfermot Road
Ballyfermot, Dublin 10"
6169,Hilton's Pharmacy,3 Hilson House,Magic Carpet Mall,,Cornelscourt,Dublin 18,Hilton Gilsenan Limited,,"3 Hilson House
Magic Carpet Mall
Cornelscourt, Dublin 18"
6175,Murphy's totalhealth Medical Hall,Main Street,,,Ballinasloe,Co. Galway,Murphy's Medical Hall (BS),,"Main Street
Ballinasloe, Co. Galway"
6177,LloydsPharmacy,47 Main Street,,,Finglas,Dublin 11,Lloydspharmacy Ireland Limited,,"47 Main Street
Finglas, Dublin 11"
6179,Leahy's Pharmacy,Dunkellin Street,,,Loughrea,Co. Galway,Fergal Leahy (Loughrea) Limited,H62 XH90,"Dunkellin Street
Loughrea, Co. Galway H62 XH90"
6180,Sandymount Pharmacy,1a Sandymount Green,,,Sandymount,Dublin 4,Sandymount Pharmacy Limited,,"1a Sandymount Green
Sandymount, Dublin 4"
6181,"Pharmacy Department, Rotunda Hospital",Parnell Square,,,,Dublin 1,Rotunda Hospital,,"Parnell Square
Dublin 1"
6183,Trant's Pharmacy,Park Road,,,Killarney,Co. Kerry,Sewells Pharmacy (Killarney) Limited,V93E6XC,"Park Road
Killarney, Co. Kerry V93E6XC"
6184,Patrick Street Pharmacy,7 Ardilaun Court,,,Patrick Street,Dublin 8,Ardilaun Pharmacy Limited,,"7 Ardilaun Court
Patrick Street, Dublin 8"
6185,Phoenix Pharmacy Department,St. Mary's Hospital,Phoenix Park,,,Dublin 20,Health Service Executive,,"St. Mary's Hospital
Phoenix Park
Dublin 20"
6186,The Temple Bar Pharmacy,21 Essex Street East,,,Temple Bar,Dublin 2,Temple Bar Pharmacy Ltd,DO1 T209,"21 Essex Street East
Temple Bar, Dublin 2 DO1 T209"
6190,Malone's totalhealth Pharmacy ,Frances Street,,,Kilrush,Co. Clare,Malone's Pharmacy (Kilrush) Ltd,,"Frances Street
Kilrush, Co. Clare"
6191,Life MacNamara's Pharmacy,Raheny Shopping Centre,,,Raheny,Dublin 5,Mack Pharmacy Limited,,"Raheny Shopping Centre
Raheny, Dublin 5"
6193,LloydsPharmacy,Castlecourt Shopping Centre,,,Castleknock,Dublin 15,Lloydspharmacy Ireland Limited,,"Castlecourt Shopping Centre
Castleknock, Dublin 15"
6195,McCauley Health & Beauty Pharmacy,Church Road,,,Greystones,Co. Wicklow,Sam McCauley Chemists (Greystones) Ltd,,"Church Road
Greystones, Co. Wicklow"
6196,Pharmacy Department - Cappagh Hospital,Cappagh Road,,,Finglas,Dublin 11,The Cappagh National Orthopedic Hospital DAC,,"Cappagh Road
Finglas, Dublin 11"
6199,Joanne Hynes totalhealth Pharmacy,Cornmarket,,,Ballinrobe,Co. Mayo,Joanne Hynes Pharmacy Limited,,"Cornmarket
Ballinrobe, Co. Mayo"
6201,Ballinacurra Pharmacy Ltd,Greenpark S. Centre,Punch's Cross,,Limerick,Co. Limerick,Ballinacurra Pharmacy ltd,,"Greenpark S. Centre
Punch's Cross
Limerick, Co. Limerick"
6202,Castletroy Pharmacy,Unit 4,University Court,,Castletroy,Co. Limerick,Gubbins Pharmacy Limited,,"Unit 4
University Court
Castletroy, Co. Limerick"
6203,Kingswood Pharmacy,Ut. 6,Kingswood Shopping Centre,,Tallaght,Dublin 24,Best's Chemist Limited,,"Ut. 6
Kingswood Shopping Centre
Tallaght, Dublin 24"
6205,Haven Pharmacy O'Sullivan's,Mill Road,,,Killorglin,Co. Kerry,Diarmuid O'Sullivan (Pharmacy) Ltd,V93 YX59,"Mill Road
Killorglin, Co. Kerry V93 YX59"
6207,Dolan's Pharmacy Limited Bridge Centre,"Unit 9/10, The Bridge Centre",,,Tullamore,Co. Offaly,Dencel Limited,,"Unit 9/10, The Bridge Centre
Tullamore, Co. Offaly"
6208,Askea Pharmacy,Tullow Road,,,Carlow Town,Co. Carlow,Askea Pharmacy Limited,,"Tullow Road
Carlow Town, Co. Carlow"
6209,Harrington's Pharmacy Ballincollig,Main Street,,,Ballincollig,Co. Cork,Harrington's Pharmacy (Ballincollig) Ltd,,"Main Street
Ballincollig, Co. Cork"
6210,Mulligan's Pharmacy,Market Place,Superquinn Shopping Centre,,Clonmel,Co. Tipperary,Mulligan's Chemists (Gladstone Street) Limited,,"Market Place
Superquinn Shopping Centre
Clonmel, Co. Tipperary"
6214,LloydsPharmacy,Spar Shopping Centre,Carpenterstown Road,,Castleknock,Dublin 15,Lloydspharmacy Ireland Limited,D15 Y825,"Spar Shopping Centre
Carpenterstown Road
Castleknock, Dublin 15 D15 Y825"
6217,Ryans Pharmacy,1 River Court,,,Rathangan,Co. Kildare,Pharmacy O'Riain Limited,,"1 River Court
Rathangan, Co. Kildare"
6218,McDaid's Pharmacy,Newcourt Shopping Centre,Church Street,,Cavan Town,Co. Cavan,McDaid Pharmacy Limited,,"Newcourt Shopping Centre
Church Street
Cavan Town, Co. Cavan"
6219,"Pharmacy Department, St. Joseph's Hospital Ennis",,,,Ennis,Co. Clare,Health Service Executive,,"Ennis, Co. Clare"
6221,Cleaboy Pharmacy,Cleaboy Shopping Centre,,,Waterford City,Co. Waterford,Keating's Pharmacy Limited,,"Cleaboy Shopping Centre
Waterford City, Co. Waterford"
6222,Allcare Pharmacy,Units 251-252,Blanchardstown Shopping Centre,,Blanchardstown,Dublin 15,Rathgibbon Limited,,"Units 251-252
Blanchardstown Shopping Centre
Blanchardstown, Dublin 15"
6223,City Pharmacy,14 Dame Street,,,,Dublin 2,Corrigan Pharmacy Holdings Ltd,,"14 Dame Street
Dublin 2"
6226,McGrath's Pharmacy Limited,The Square,,,Sixmilebridge,Co. Clare,McGrath's Pharmacy Limited,,"The Square
Sixmilebridge, Co. Clare"
6229,Rochford's Pharmacy,21 Parnell Street,,,Ennis,Co. Clare,Poleglen Limited,,"21 Parnell Street
Ennis, Co. Clare"
6230,University Pharmacy,"Units 1-2, University Halls",Newcastle Road,,Galway City,Co. Galway,Bellasy Limited,,"Units 1-2, University Halls
Newcastle Road
Galway City, Co. Galway"
6233,Deasy's CarePlus Pharmacy,Main Street,,,Ballymakeera,Co. Cork,Gaelpharm Ltd,,"Main Street
Ballymakeera, Co. Cork"
6234,Pharmacy First Plus Tower,Tower Shopping Centre,Tower,,Blarney,Co. Cork,Tower Pharmacy Ltd,,"Tower Shopping Centre
Tower
Blarney, Co. Cork"
6242,Bon Secours Hospital Tralee,"Pharmacy Department, Bon Secours Hospital",Strand Road,,Tralee,Co. Kerry,Bon Secours Health System Company Limited By Guarantee,,"Pharmacy Department, Bon Secours Hospital
Strand Road
Tralee, Co. Kerry"
6245,O'Meara's Pharmacy,Main Street,,,Borrisokane,Co. Tipperary,Borrisokane Pharmacy Limited,,"Main Street
Borrisokane, Co. Tipperary"
6246,St. James's Late Night Pharmacy,The Concourse,St. James's Hospital,,James's Street,Dublin 8,Bibola Limited,,"The Concourse
St. James's Hospital
James's Street, Dublin 8"
6248,Drinagh Pharmacy,Market Street,,,Skibbereen,Co. Cork,Drinagh Co-operative Limited,,"Market Street
Skibbereen, Co. Cork"
6249,"Pharmacy Department, St. Brigid's Hospital",,,,Ballinasloe,Co. Galway,Health Service Executive,,"Ballinasloe, Co. Galway"
6253,McQuillan's Pharmacy,Main Street,,,Blackrock,Co. Louth,Brian McQuillian Limited ,,"Main Street
Blackrock, Co. Louth"
6254,Green Park Pharmacy,Green Park Shopping Centre,,,Clondalkin,Dublin 22,Clawfin Limited,,"Green Park Shopping Centre
Clondalkin, Dublin 22"
6255,Crowley's Allcare Pharmacy,"Unit 3, Mahon Shopping Centre, Avenue De Rennes",Ave. De Rennes,,Mahon,Co. Cork,Geoff McMaw Pharmacy Limited,,"Unit 3, Mahon Shopping Centre, Avenue De Rennes
Ave. De Rennes
Mahon, Co. Cork"
6260,Raheen Pharmacy Limited,3 Courtfields Sc,Raheen,,Limerick,Co. Limerick,Raheen Pharmacy Limited,,"3 Courtfields Sc
Raheen
Limerick, Co. Limerick"
6261,Molloys Pharmacy,Garden Street,,,Ballina,Co. Mayo,Bluemarsh Limited,,"Garden Street
Ballina, Co. Mayo"
6262,Hunters Pharmacy Windy Arbour Limited,5 Olivemount Terrace,Windy Arbour,,Dundrum,Dublin 14,Hunters Pharmacy Windy Arbour Limited,,"5 Olivemount Terrace
Windy Arbour
Dundrum, Dublin 14"
6263,Bergin's Pharmacy,Unit 7 Courtyard Shopping Centre,Edward Street,,Newbridge,Co. Kildare,Berdig Limited,W12 VY16,"Unit 7 Courtyard Shopping Centre
Edward Street
Newbridge, Co. Kildare W12 VY16"
6264,Healy Pharmacies,24 Main Street,,,Bagenalstown,Co. Carlow,Healy's Pharmacy Limited ,,"24 Main Street
Bagenalstown, Co. Carlow"
6266,MacManus Pharmacy,12 Townhall Street,,,Cavan Town,Co. Cavan,J. McManus Chemist Limited,,"12 Townhall Street
Cavan Town, Co. Cavan"
6267,"Pharmacy Department, Royal Victoria Eye And Ear Hospital",Royal Victoria Eye And Ear Hospital,Adelaide Road,,,Dublin 2,Royal Victoria Eye & Ear Hospital,,"Royal Victoria Eye And Ear Hospital
Adelaide Road
Dublin 2"
6270,"Pharmacy Department, Mayo General Hospital",,,,Castlebar,Co. Mayo,Health Service Executive,,"Castlebar, Co. Mayo"
6273,Clonee Pharmacy Limited,Unit 2 The Clonee Centre,Main Street,,Clonee,Co. Meath,Clonee Pharmacy Limited,,"Unit 2 The Clonee Centre
Main Street
Clonee, Co. Meath"
